Kategorie: Alle Kategorien

Woche,workout: (Florida)
2020-01-05,72
2020-01-12,74
2020-01-19,71
2020-01-26,67
2020-02-02,62
2020-02-09,67
2020-02-16,69
2020-02-23,61
2020-03-01,62
2020-03-08,52
2020-03-15,66
2020-03-22,88
2020-03-29,92
2020-04-05,95
2020-04-12,100
2020-04-19,95
2020-04-26,88
2020-05-03,80
2020-05-10,84
2020-05-17,79
2020-05-24,94
2020-05-31,81
2020-06-07,82
2020-06-14,83
2020-06-21,79
2020-06-28,82
2020-07-05,83
2020-07-12,80
2020-07-19,78
2020-07-26,79
2020-08-02,77
2020-08-09,71
2020-08-16,71
2020-08-23,68
2020-08-30,67
2020-09-06,65
2020-09-13,66
2020-09-20,69
2020-09-27,69
2020-10-04,68
2020-10-11,72
2020-10-18,66
2020-10-25,54
2020-11-01,48
2020-11-08,67
2020-11-15,57
2020-11-22,65
2020-11-29,62
2020-12-06,60
2020-12-13,52
2020-12-20,49
2020-12-27,67
