Kategorie: Alle Kategorien

Woche,workout: (Michigan)
2020-01-05,94
2020-01-12,85
2020-01-19,72
2020-01-26,74
2020-02-02,79
2020-02-09,74
2020-02-16,72
2020-02-23,81
2020-03-01,63
2020-03-08,64
2020-03-15,78
2020-03-22,94
2020-03-29,88
2020-04-05,97
2020-04-12,100
2020-04-19,96
2020-04-26,96
2020-05-03,91
2020-05-10,85
2020-05-17,78
2020-05-24,90
2020-05-31,73
2020-06-07,66
2020-06-14,74
2020-06-21,76
2020-06-28,69
2020-07-05,74
2020-07-12,61
2020-07-19,71
2020-07-26,62
2020-08-02,58
2020-08-09,61
2020-08-16,51
2020-08-23,64
2020-08-30,49
2020-09-06,58
2020-09-13,53
2020-09-20,52
2020-09-27,65
2020-10-04,57
2020-10-11,66
2020-10-18,66
2020-10-25,58
2020-11-01,42
2020-11-08,64
2020-11-15,67
2020-11-22,66
2020-11-29,87
2020-12-06,69
2020-12-13,70
2020-12-20,59
2020-12-27,80
