Kategorie: Alle Kategorien

Woche,workout: (Mississippi)
2020-01-05,69
2020-01-12,88
2020-01-19,100
2020-01-26,58
2020-02-02,75
2020-02-09,73
2020-02-16,82
2020-02-23,71
2020-03-01,76
2020-03-08,44
2020-03-15,65
2020-03-22,93
2020-03-29,94
2020-04-05,92
2020-04-12,93
2020-04-19,74
2020-04-26,71
2020-05-03,81
2020-05-10,83
2020-05-17,74
2020-05-24,79
2020-05-31,76
2020-06-07,68
2020-06-14,86
2020-06-21,84
2020-06-28,86
2020-07-05,82
2020-07-12,66
2020-07-19,78
2020-07-26,77
2020-08-02,80
2020-08-09,69
2020-08-16,57
2020-08-23,31
2020-08-30,80
2020-09-06,66
2020-09-13,65
2020-09-20,63
2020-09-27,57
2020-10-04,59
2020-10-11,46
2020-10-18,37
2020-10-25,46
2020-11-01,47
2020-11-08,67
2020-11-15,42
2020-11-22,48
2020-11-29,59
2020-12-06,66
2020-12-13,47
2020-12-20,50
2020-12-27,69
