Kategorie: Alle Kategorien

Woche,workout: (New Hampshire)
2020-01-05,72
2020-01-12,57
2020-01-19,69
2020-01-26,66
2020-02-02,58
2020-02-09,49
2020-02-16,60
2020-02-23,50
2020-03-01,65
2020-03-08,35
2020-03-15,58
2020-03-22,66
2020-03-29,100
2020-04-05,53
2020-04-12,69
2020-04-19,72
2020-04-26,65
2020-05-03,40
2020-05-10,54
2020-05-17,75
2020-05-24,47
2020-05-31,52
2020-06-07,71
2020-06-14,69
2020-06-21,49
2020-06-28,53
2020-07-05,88
2020-07-12,36
2020-07-19,51
2020-07-26,49
2020-08-02,61
2020-08-09,31
2020-08-16,29
2020-08-23,35
2020-08-30,48
2020-09-06,40
2020-09-13,37
2020-09-20,31
2020-09-27,44
2020-10-04,38
2020-10-11,46
2020-10-18,48
2020-10-25,36
2020-11-01,37
2020-11-08,48
2020-11-15,46
2020-11-22,49
2020-11-29,48
2020-12-06,50
2020-12-13,25
2020-12-20,46
2020-12-27,60
