Kategorie: Alle Kategorien

Woche,workout: (New York)
2020-01-05,73
2020-01-12,75
2020-01-19,71
2020-01-26,64
2020-02-02,75
2020-02-09,63
2020-02-16,67
2020-02-23,61
2020-03-01,65
2020-03-08,55
2020-03-15,92
2020-03-22,95
2020-03-29,96
2020-04-05,90
2020-04-12,100
2020-04-19,91
2020-04-26,90
2020-05-03,86
2020-05-10,87
2020-05-17,87
2020-05-24,93
2020-05-31,74
2020-06-07,78
2020-06-14,76
2020-06-21,67
2020-06-28,75
2020-07-05,74
2020-07-12,75
2020-07-19,73
2020-07-26,65
2020-08-02,67
2020-08-09,70
2020-08-16,68
2020-08-23,72
2020-08-30,67
2020-09-06,70
2020-09-13,65
2020-09-20,63
2020-09-27,66
2020-10-04,61
2020-10-11,69
2020-10-18,66
2020-10-25,62
2020-11-01,55
2020-11-08,60
2020-11-15,61
2020-11-22,61
2020-11-29,72
2020-12-06,72
2020-12-13,73
2020-12-20,67
2020-12-27,74
