Kategorie: Alle Kategorien

Woche,workout: (Pennsylvania)
2020-01-05,90
2020-01-12,70
2020-01-19,67
2020-01-26,69
2020-02-02,60
2020-02-09,61
2020-02-16,66
2020-02-23,62
2020-03-01,69
2020-03-08,47
2020-03-15,75
2020-03-22,84
2020-03-29,87
2020-04-05,90
2020-04-12,100
2020-04-19,89
2020-04-26,81
2020-05-03,80
2020-05-10,76
2020-05-17,80
2020-05-24,86
2020-05-31,69
2020-06-07,65
2020-06-14,60
2020-06-21,70
2020-06-28,77
2020-07-05,73
2020-07-12,61
2020-07-19,68
2020-07-26,59
2020-08-02,63
2020-08-09,58
2020-08-16,59
2020-08-23,63
2020-08-30,47
2020-09-06,59
2020-09-13,48
2020-09-20,56
2020-09-27,49
2020-10-04,57
2020-10-11,51
2020-10-18,52
2020-10-25,58
2020-11-01,35
2020-11-08,46
2020-11-15,57
2020-11-22,53
2020-11-29,62
2020-12-06,61
2020-12-13,51
2020-12-20,50
2020-12-27,67
