Kategorie: Alle Kategorien

Woche,workout: (Texas)
2020-01-05,87
2020-01-12,81
2020-01-19,79
2020-01-26,74
2020-02-02,69
2020-02-09,61
2020-02-16,72
2020-02-23,72
2020-03-01,72
2020-03-08,62
2020-03-15,75
2020-03-22,92
2020-03-29,94
2020-04-05,100
2020-04-12,96
2020-04-19,98
2020-04-26,94
2020-05-03,82
2020-05-10,82
2020-05-17,97
2020-05-24,96
2020-05-31,90
2020-06-07,83
2020-06-14,86
2020-06-21,83
2020-06-28,86
2020-07-05,90
2020-07-12,78
2020-07-19,85
2020-07-26,80
2020-08-02,84
2020-08-09,78
2020-08-16,72
2020-08-23,62
2020-08-30,63
2020-09-06,72
2020-09-13,74
2020-09-20,63
2020-09-27,61
2020-10-04,69
2020-10-11,57
2020-10-18,65
2020-10-25,54
2020-11-01,50
2020-11-08,64
2020-11-15,62
2020-11-22,59
2020-11-29,64
2020-12-06,70
2020-12-13,55
2020-12-20,51
2020-12-27,73
