Kategorie: Alle Kategorien

Woche,workout: (Virginia)
2020-01-05,71
2020-01-12,76
2020-01-19,70
2020-01-26,58
2020-02-02,63
2020-02-09,61
2020-02-16,76
2020-02-23,64
2020-03-01,67
2020-03-08,50
2020-03-15,76
2020-03-22,84
2020-03-29,89
2020-04-05,100
2020-04-12,95
2020-04-19,87
2020-04-26,98
2020-05-03,87
2020-05-10,91
2020-05-17,78
2020-05-24,83
2020-05-31,75
2020-06-07,66
2020-06-14,87
2020-06-21,78
2020-06-28,78
2020-07-05,76
2020-07-12,80
2020-07-19,70
2020-07-26,73
2020-08-02,76
2020-08-09,83
2020-08-16,68
2020-08-23,66
2020-08-30,61
2020-09-06,62
2020-09-13,59
2020-09-20,49
2020-09-27,57
2020-10-04,56
2020-10-11,60
2020-10-18,67
2020-10-25,60
2020-11-01,47
2020-11-08,64
2020-11-15,69
2020-11-22,59
2020-11-29,65
2020-12-06,65
2020-12-13,61
2020-12-20,49
2020-12-27,76
