Kategorie: Alle Kategorien

Woche,workout: (Washington)
2020-01-05,86
2020-01-12,73
2020-01-19,83
2020-01-26,73
2020-02-02,75
2020-02-09,74
2020-02-16,72
2020-02-23,69
2020-03-01,61
2020-03-08,68
2020-03-15,77
2020-03-22,99
2020-03-29,100
2020-04-05,99
2020-04-12,95
2020-04-19,100
2020-04-26,94
2020-05-03,76
2020-05-10,79
2020-05-17,95
2020-05-24,74
2020-05-31,76
2020-06-07,65
2020-06-14,79
2020-06-21,70
2020-06-28,63
2020-07-05,58
2020-07-12,77
2020-07-19,69
2020-07-26,62
2020-08-02,53
2020-08-09,53
2020-08-16,73
2020-08-23,59
2020-08-30,59
2020-09-06,53
2020-09-13,63
2020-09-20,60
2020-09-27,67
2020-10-04,51
2020-10-11,64
2020-10-18,71
2020-10-25,63
2020-11-01,57
2020-11-08,73
2020-11-15,74
2020-11-22,57
2020-11-29,60
2020-12-06,55
2020-12-13,62
2020-12-20,51
2020-12-27,74
