"","WeekOfYear","State","GSV_anxiety","GSV_depression","GSV_insomnia","GSV_suicide","GSV_therapy","GSV_index","GSV_workout","SP","NCases","NDeaths","Unemplyment_claims","Recreation","Grocery","Transit","Parks","Workplace","Residential","Mobility_index","Mobility_index_excl_Mobility","Drug_death"
"1","07","Alabama",60,61,27,70,72,58,68,0.00373464373464372,5,0,1.735,2.5,0,5,16,0.5,0,4,1.6,772
"3","07","Arizona",92,78,51,50,99,74,55,0.00373464373464372,0,0,3.151,5,2.5,3,21.5,-0.5,-0.5,5.16666666666667,1.9,2064
"5","07","California",73,91,60,62,99,77,61,0.00373464373464372,51,0,34.979,3,0.5,1,25,-1,-0.5,4.66666666666667,0.6,6591
"6","07","Colorado",97,78,86,68,80,81.8,53,0.00373464373464372,0,0,1.862,4.5,4,1,-11.5,1,0,-0.166666666666667,2.1,1131
"7","07","Connecticut",90,71,35,58,90,68.8,64,0.00373464373464372,0,0,2.435,4.5,-4.5,5.5,6,-1,0,1.75,0.9,1276
"9","07","Florida",77,58,78,70,94,75.4,69,0.00373464373464372,0,0,4.861,3,0.5,2,8.5,-1.5,-0.5,2,0.7,5777
"10","07","Georgia",78,65,39,47,88,63.4,60,0.00373464373464372,0,0,5.03,1.5,-2,-0.5,11.5,-1,0,1.58333333333333,-0.4,1430
"11","07","Hawaii",46,39,15,19,43,32.4,35,0.00373464373464372,0,0,1.02,3,2.5,4,17,-1,-0.5,4.16666666666667,1.6,227
"13","07","Illinois",81,88,30,83,93,75,67,0.00373464373464372,0,0,11.812,6,2.5,3,19.5,2.5,-1,5.41666666666667,2.6,2939
"14","07","Indiana",100,68,46,48,93,71,80,0.00373464373464372,0,0,2.979,8.5,3.5,6,25,0.5,-1,7.08333333333333,3.5,1791
"18","07","Louisiana",65,77,23,79,90,66.8,57,0.00373464373464372,0,0,1.798,6.5,4.5,10.5,11.5,0.5,-0.5,5.5,4.3,1341
"20","07","Maryland",69,77,80,61,94,76.2,75,0.00373464373464372,0,0,2.7,3.5,0,0,12,0,-1,2.41666666666667,0.5,2360
"21","07","Massachusetts",96,77,68,70,86,79.4,64,0.00373464373464372,0,0,9.264,4,-4,1,1.5,-1,0,0.25,0,2221
"22","07","Michigan",80,73,35,62,84,66.8,72,0.00373464373464372,0,0,5.942,5.5,2,4.5,30,3.5,-0.5,7.5,3,2388
"23","07","Minnesota",72,80,42,31,94,63.8,63,0.00373464373464372,0,0,3.539,7.5,2,1,12,1,-1,3.75,2.1,791
"24","07","Mississippi",87,66,37,42,96,65.6,82,0.00373464373464372,0,0,827,5.5,3.5,6,2.5,0,0,2.91666666666667,3,394
"25","07","Missouri",75,52,34,58,96,63,64,0.00373464373464372,0,0,3.063,9,5.5,2,28,3.5,-1,7.83333333333333,3.8,1634
"28","07","Nevada",82,59,27,41,90,59.8,55,0.00373464373464372,0,0,2.052,4.5,2.5,1.5,22,-1,-0.5,4.83333333333333,1.4,696
"30","07","New Jersey",82,63,94,90,90,83.8,50,0.00373464373464372,0,0,8.396,3.5,-3.5,1,12.5,0.5,0,2.33333333333333,0.3,2838
