"Code","Week","AvgNCases","AvgNDeaths","State"
"AK","16",6.71428571428571,0,"Alaska"
"AK","04",0,0,"Alaska"
"AK","32",63.7142857142857,0.857142857142857,"Alaska"
"AK","29",57.5714285714286,0.857142857142857,"Alaska"
"AK","15",12.4285714285714,0.285714285714286,"Alaska"
"AK","26",18,0.142857142857143,"Alaska"
"AK","27",36.2857142857143,0.142857142857143,"Alaska"
"AK","30",93,0.714285714285714,"Alaska"
"AK","31",106,0.571428571428571,"Alaska"
"AK","06",0,0,"Alaska"
"AK","07",0,0,"Alaska"
"AK","28",48.1428571428571,0.428571428571429,"Alaska"
"AK","05",0,0,"Alaska"
"AK","21",1.71428571428571,0,"Alaska"
"AK","22",7.57142857142857,0.285714285714286,"Alaska"
"AK","23",12.2857142857143,0.285714285714286,"Alaska"
"AK","20",2.71428571428571,0.142857142857143,"Alaska"
"AK","25",13.7142857142857,0.142857142857143,"Alaska"
"AK","37",71.5714285714286,0.428571428571429,"Alaska"
"AK","38",83.4285714285714,0.428571428571429,"Alaska"
"AK","39",98.4285714285714,0.857142857142857,"Alaska"
"AK","17",3.14285714285714,0,"Alaska"
"AK","18",3.85714285714286,0.142857142857143,"Alaska"
"AK","19",1.57142857142857,0,"Alaska"
"AK","08",0,0,"Alaska"
"AK","09",0,0,"Alaska"
"AK","10",0,0,"Alaska"
"AK","11",0.142857142857143,0,"Alaska"
"AK","12",3.42857142857143,0.142857142857143,"Alaska"
"AK","24",16.5714285714286,0,"Alaska"
"AK","36",74.5714285714286,0.571428571428571,"Alaska"
"AK","14",10.7142857142857,0.285714285714286,"Alaska"
"AK","48",637.714285714286,4.42857142857143,"Alaska"
"AK","49",690.428571428571,3.71428571428571,"Alaska"
"AK","41",180.428571428571,1.14285714285714,"Alaska"
"AK","42",187.142857142857,1.28571428571429,"Alaska"
"AK","50",579.571428571429,3.85714285714286,"Alaska"
"AK","40",128.714285714286,0.857142857142857,"Alaska"
"AK","45",447.285714285714,2.42857142857143,"Alaska"
"AK","13",12.1428571428571,0.571428571428571,"Alaska"
"AK","33",77.8571428571429,0.714285714285714,"Alaska"
"AK","34",70.7142857142857,0.428571428571429,"Alaska"
"AK","51",377.285714285714,1.57142857142857,"Alaska"
"AK","52",266.142857142857,0.714285714285714,"Alaska"
"AK","46",567,3.57142857142857,"Alaska"
"AK","47",569.571428571429,2.14285714285714,"Alaska"
"AK","44",387.857142857143,2.28571428571429,"Alaska"
"AK","53",267.25,2,"Alaska"
"AK","43",288.285714285714,1.28571428571429,"Alaska"
"AK","35",70.5714285714286,0.285714285714286,"Alaska"
"AL","15",193.714285714286,10.8571428571429,"Alabama"
"AL","14",198.571428571429,7.42857142857143,"Alabama"
"AL","12",127,0.285714285714286,"Alabama"
"AL","16",191,12.5714285714286,"Alabama"
"AL","11",45.8571428571429,0.142857142857143,"Alabama"
"AL","35",1230.28571428571,26.5714285714286,"Alabama"
"AL","13",175.142857142857,4,"Alabama"
"AL","09",4.85714285714286,0.142857142857143,"Alabama"
"AL","10",9.85714285714286,0,"Alabama"
"AL","23",543.142857142857,15.7142857142857,"Alabama"
"AL","24",654.428571428571,14.2857142857143,"Alabama"
