"","Counter","State","Initial Claims","Continued Claims","Date","WeekOfYear"
"1",5,"Alabama",3.629,21.143,2020-01-04,"01"
"2",6,"Alabama",2.483,17.402,2020-01-11,"02"
"3",7,"Alabama",2.129,18.39,2020-01-18,"03"
"4",8,"Alabama",2.17,17.284,2020-01-25,"04"
"5",9,"Alabama",2.176,16.745,2020-02-01,"05"
"6",10,"Alabama",1.981,16.571,2020-02-08,"06"
"7",11,"Alabama",1.735,16.059,2020-02-15,"07"
"8",12,"Alabama",1.575,14.721,2020-02-22,"08"
"9",13,"Alabama",1.663,13.657,2020-02-29,"09"
"10",14,"Alabama",1.819,13.07,2020-03-07,"10"
"11",15,"Alabama",10.892,12.487,2020-03-14,"11"
"12",16,"Alabama",80.984,18.083,2020-03-21,"12"
"13",17,"Alabama",106.739,52.176,2020-03-28,"13"
"14",18,"Alabama",77.515,95.325,2020-04-04,"14"
"15",19,"Alabama",66.432,144.327,2020-04-11,"15"
"16",20,"Alabama",74.966,173.855,2020-04-18,"16"
"17",21,"Alabama",28.985,214.684,2020-04-25,"17"
"18",22,"Alabama",26.666,216.856,2020-05-02,"18"
"19",23,"Alabama",25.15,203.677,2020-05-09,"19"
"20",24,"Alabama",27.919,190.205,2020-05-16,"20"
"21",25,"Alabama",21.335,183.565,2020-05-23,"21"
"22",26,"Alabama",19.949,180.245,2020-05-30,"22"
"23",27,"Alabama",18.367,163.982,2020-06-06,"23"
"24",28,"Alabama",18.671,150.002,2020-06-13,"24"
"25",29,"Alabama",18.338,141.45,2020-06-20,"25"
"26",30,"Alabama",19.056,138.272,2020-06-27,"26"
"27",31,"Alabama",20.563,117.388,2020-07-04,"27"
"28",32,"Alabama",23.676,105.644,2020-07-11,"28"
"29",33,"Alabama",17.437,94.069,2020-07-18,"29"
"30",34,"Alabama",11.69,84.07,2020-07-25,"30"
"31",35,"Alabama",9.467,70.412,2020-08-01,"31"
"32",36,"Alabama",11.047,58.275,2020-08-08,"32"
"33",37,"Alabama",8.676,51.991,2020-08-15,"33"
"34",38,"Alabama",8.511,48.797,2020-08-22,"34"
"35",39,"Alabama",8.901,44.546,2020-08-29,"35"
"36",40,"Alabama",8.848,40.198,2020-09-05,"36"
"37",41,"Alabama",8.679,37.431,2020-09-12,"37"
"38",42,"Alabama",8.805,34.997,2020-09-19,"38"
"39",43,"Alabama",7.732,30.716,2020-09-26,"39"
